,monitor,curved,size,contrast,contrast_LD,backlight,sdr_brightness,hdr_brightness,rec_mode,rec_rgb,rec_contrast,rec_gamma,srgb,adobergb,dcip3_volume,rec2020_volume,coating,pixel,subpixel,refreshrate,hdmi_rr10,dp_rr10,gsync,rec_overdrive,trt_max,overshoot_max,smear_max,trt_120,overshoot_120,smear_120,pwm,inputlag_max,inputlag_120,res,aspect,ppi,ps5_vrr,xbox_vrr,hdmi2.1,powerdelivery,kvm,multi_input
119,Acer Nitro XV272U KVbmiiprzx,No,"27""","1,029 : 1",,Edge,365 cd/m²,441 cd/m²,User,57-45-44,50.0,2.2 (Default),99.4%,88.0%,85.5%,64.2%,Matte,IPS,RGB,170 Hz,60 Hz,120 Hz,Compatible (Tested),AMD FreeSync Premium,6.1 ms,2.1%,9.3 ms,8.6 ms,4.5%,12.6 ms,0 Hz,3.4 ms,4.8 ms,2560 x 1440,16:9,109 PPI,No,Yes,No HDMI 2.1,No USB-C Ports,No,No
120,ASUS TUF Gaming VG259QM,No,"25""","1,364 : 1",,Edge,388 cd/m²,374 cd/m²,Racing Mode,100-98-91,80.0,No Gamma Setting,96.8%,74.3%,73.3%,53.6%,Matte,IPS,RGB,280 Hz,144 Hz,144 Hz,Compatible (NVIDIA Certified),120,6.7 ms,8.0%,11.6 ms,8.1 ms,1.1%,12.7 ms,0 Hz,1.9 ms,4.8 ms,1920 x 1080,16:9,88 PPI,No,Yes,No HDMI 2.1,No USB-C Ports,No,No
121,ASUS ProArt Display PA278CV,No,"27""","1,078 : 1",,Edge,387 cd/m²,,Standard,47-50-48,80.0,2.2,99.8%,79.2%,,,Matte,IPS,RGB,75 Hz,,,Compatible (Tested),40,11.4 ms,0.0%,15.7 ms,,,,>1000 Hz,7.1 ms,,2560 x 1440,16:9,109 PPI,No,Yes,No HDMI 2.1,65W,No,No
122,LG 32GP850-B,No,"32""","1,037 : 1",,Edge,412 cd/m²,416 cd/m²,Gamer 1,50-50-49,70.0,Mode 2,100.0%,88.5%,83.8%,64.7%,Matte,IPS,RGB,180 Hz,60 Hz,180 Hz,Compatible (NVIDIA Certified),Fast,6.2 ms,3.4%,9.4 ms,6.9 ms,0.6%,10.7 ms,0 Hz,3.4 ms,5.0 ms,2560 x 1440,16:9,93 PPI,No,Yes,No HDMI 2.1,No USB-C Ports,No,No
123,ASUS TUF Gaming VG34VQL1B,Yes,"34""","4,781 : 1",,Edge,455 cd/m²,520 cd/m²,User,96-98-100,75.0,No Gamma Setting,97.3%,85.2%,84.0%,61.2%,Matte,VA,RGB,165 Hz,60 Hz,144 Hz,Compatible (Tested),40,10.7 ms,4.5%,20.4 ms,10.3 ms,3.2%,18.3 ms,0 Hz,3.8 ms,5.3 ms,3440 x 1440,21:9,109 PPI,No,No,No HDMI 2.1,No USB-C Ports,No,PIP + PBP
124,Dell S2721QS,No,"27""","1,221 : 1",,Edge,373 cd/m²,370 cd/m²,Custom Color,100-97-97,71.0,No Gamma Setting,100.0%,79.7%,75.5%,54.7%,Matte,IPS,RGB,60 Hz,30 Hz,60 Hz,Compatible (Tested),Normal,14.5 ms,0.0%,21.1 ms,,,,0 Hz,8.7 ms,,3840 x 2160,16:9,164 PPI,No,Yes,No HDMI 2.1,No USB-C Ports,No,PIP + PBP
125,ASUS VG279QM,No,"27""","1,186 : 1",,Edge,414 cd/m²,474 cd/m²,Racing Mode,100-96-91,80.0,No Gamma Setting,97.7%,75.2%,69.2%,51.8%,Matte,IPS,RGB,280 Hz,120 Hz,144 Hz,Compatible (NVIDIA Certified),80,6.6 ms,1.4%,9.7 ms,8.2 ms,1.2%,12.9 ms,0 Hz,1.7 ms,4.8 ms,1920 x 1080,16:9,82 PPI,No,Yes,No HDMI 2.1,No USB-C Ports,No,No
126,AOC 24G2,No,"24""","1,554 : 1",,Edge,374 cd/m²,,Standard (User),50-47-45,50.0,Gamma 1,99.0%,83.7%,,,Matte,IPS,RGB,144 Hz,,,Compatible (Tested),Strong,8.1 ms,3.4%,12.8 ms,10.1 ms,0.3%,17.3 ms,0 Hz,3.9 ms,5.0 ms,1920 x 1080,16:9,92 PPI,No,Yes,No HDMI 2.1,No USB-C Ports,No,No
127,MSI Optix MAG274QRF-QD,No,"27""","1,195 : 1",,Edge,372 cd/m²,367 cd/m²,User,100-90-92,70.0,No Gamma Setting,99.5%,100.0%,87.1%,72.4%,Matte,IPS,RGB,165 Hz,60 Hz,120 Hz,Compatible (NVIDIA Certified),Fast,6.9 ms,3.5%,10.3 ms,9.2 ms,0.0%,12.3 ms,0 Hz,3.8 ms,4.9 ms,2560 x 1440,16:9,109 PPI,No,Yes,No HDMI 2.1,5W,No,No
128,Acer Nitro XV282K KVbmiipruzx,No,"28""","1,086 : 1",808 : 1,Edge,319 cd/m²,342 cd/m²,User,49-47-50,50.0,2.2 (Default),99.8%,83.4%,83.0%,61.9%,Matte,IPS,RGB,144 Hz,144 Hz,144 Hz,Compatible (Tested),AMD FreeSync Premium,7.8 ms,6.0%,11.8 ms,9.1 ms,7.3%,13.8 ms,0 Hz,3.9 ms,4.7 ms,3840 x 2160,16:9,160 PPI,Yes,Yes,24Gbps (FRL 6x4),65W,No,No
129,Gigabyte G34WQC,Yes,"34""","3,134 : 1",,Edge,371 cd/m²,499 cd/m²,Custom 1,50-47-46,60.0,Gamma 3,97.0%,84.4%,70.4%,60.6%,Matte,VA,RGB,144 Hz,60 Hz,144 Hz,Compatible (Tested),Speed,13.8 ms,15.3%,25.2 ms,14.8 ms,2.8%,32.5 ms,0 Hz,4.2 ms,5.4 ms,3440 x 1440,21:9,109 PPI,No,Yes,No HDMI 2.1,No USB-C Ports,No,PIP + PBP
130,MSI Optix G273,No,"27""","1,494 : 1",,Edge,339 cd/m²,,User,50-56-48,70.0,No Gamma Setting,99.3%,84.4%,,,Matte,IPS,RGB,165 Hz,85 Hz,165 Hz,Compatible (NVIDIA Certified),Fastest,12.7 ms,5.1%,21.6 ms,14.2 ms,12.3%,28.0 ms,0 Hz,4.0 ms,5.1 ms,1920 x 1080,16:9,81 PPI,PS5 doesn't support VRR yet,Yes,No HDMI 2.1,No USB-C Ports,No,No
131,Lepow Z1 Gamut,No,"15""","1,078 : 1",,Edge,178 cd/m²,194 cd/m²,Standard,47-44-42,50.0,No Gamma Setting,99.3%,83.8%,77.6%,59.5%,Matte,IPS,RGB,60 Hz,60 Hz,60 Hz,No,No Overdrive,36.2 ms,0.0%,58.3 ms,,,,800 Hz,8.8 ms,,1920 x 1080,16:9,142 PPI,No,No,No HDMI 2.1,5W,No,No
132,Mobile Pixels TRIO,No,"13""",979 : 1,,Edge,239 cd/m²,,No Setting Options,No Color Settings,50.0,No Gamma Setting,69.4%,51.6%,,,Matte,IPS,RGB,60 Hz,,,No,No Overdrive,31.0 ms,0.2%,31.1 ms,,,,>1000 Hz,25.1 ms,,1920 x 1080,16:9,169 PPI,,,,,,No
133,BenQ ZOWIE XL2411P,No,"24""",849 : 1,,Edge,375 cd/m²,,Standard,92-99-99,47.0,Mode 4,95.4%,73.7%,,,Matte,TN,RGB,144 Hz,,,No,Off,12.2 ms,0.0%,7.9 ms,,,,0 Hz,4.4 ms,,1920 x 1080,16:9,92 PPI,,,,,,No
134,ASUS ROG Strix XG279Q,No,"27""","1,119 : 1","1,070 : 1",Edge,410 cd/m²,452 cd/m²,Racing Mode,85-90-100,80.0,2.2,100.0%,79.6%,88.4%,68.9%,Matte,IPS,RGB,170 Hz,,,Compatible (NVIDIA Certified),Level 2,7.2 ms,4.6%,8.4 ms,,,,0 Hz,3.5 ms,,2560 x 1440,16:9,109 PPI,,,,,,No
135,ASUS ROG Strix XG27UQ,No,"27""","1,232 : 1","1,211 : 1",Edge,470 cd/m²,472 cd/m²,User,80-100-96,80.0,2.2,99.4%,85.0%,86.1%,72.4%,Matte,IPS,RGB,144 Hz,,,Compatible (Tested),Level 3,10.1 ms,1.0%,10.2 ms,,,,>1000 Hz,4.1 ms,,3840 x 2160,16:9,164 PPI,,,,,,No
136,HP OMEN 27c,Yes,"27""","2,402 : 1","1,805 : 1",Edge,252 cd/m²,410 cd/m²,Standard,255-249-240,90.0,No Gamma Setting,98.8%,73.4%,87.3%,64.6%,Matte,VA,RGB,240 Hz,,,Compatible (Tested),Level 3,12.0 ms,0.4%,20.0 ms,,,,0 Hz,3.5 ms,,2560 x 1440,16:9,110 PPI,,,,,,PIP + PBP
137,Acer Nitro XV340CK Pbmiipphzx,No,"34""","1,048 : 1",,Edge,250 cd/m²,226 cd/m²,User,45-49-43,50.0,2.2,97.8%,75.9%,31.8%,44.2%,Matte,IPS,RGB,144 Hz,,,Compatible (Tested),Normal,10.6 ms,0.8%,12.4 ms,,,,0 Hz,4.2 ms,,3440 x 1440,21:9,109 PPI,,,,,,PIP + PBP
138,ASUS TUF VG32VQ,Yes,"32""","2,880 : 1",,Edge,406 cd/m²,423 cd/m²,Racing Mode,99-100-90,72.0,,92.0%,72.3%,70.6%,51.0%,Matte,VA,RGB,144 Hz,,,No,80,11.4 ms,4.6%,14.6 ms,,,,0 Hz,4.8 ms,,2560 x 1440,16:9,92 PPI,,,,,,No
139,Acer Predator XB273K Pbmiphzx,No,"27""","1,005 : 1",,Direct,326 cd/m²,381 cd/m²,User,26-31-36,50.0,Default,100.0%,82.0%,83.1%,68.0%,Matte,IPS,RGB,144 Hz,,,Yes (Native),Normal,12.0 ms,12.6%,11.4 ms,,,,0 Hz,5.3 ms,,3840 x 2160,16:9,164 PPI,,,,,,No
140,Dell C1422H,No,"14""","1,275 : 1",,Edge,297 cd/m²,,No Setting Options,No Color Settings,,No Gamma Setting,98.8%,73.6%,,,Matte,IPS,RGB,60 Hz,,,No,No Overdrive,28.4 ms,30.6%,34.3 ms,,,,0 Hz,8.6 ms,,1920 x 1080,16:9,158 PPI,,,,,,No
141,Dell S2421H,No,"24""","1,126 : 1",,Edge,266 cd/m²,,Custom Color,99-100-93,75.0,No Gamma Setting,95.9%,73.9%,,,Matte,IPS,RGB,75 Hz,,,No,Normal,16.7 ms,3.0%,18.8 ms,,,,0 Hz,7.4 ms,,1920 x 1080,16:9,93 PPI,,,,,,No
142,ASUS VG248QG,No,"24""",950 : 1,,Edge,312 cd/m²,,User,100-91-90,75.0,No Gamma Setting,98.3%,74.5%,,,Matte,TN,RGB,165 Hz,,,Compatible (NVIDIA Certified),40,7.3 ms,0.3%,3.7 ms,,,,0 Hz,4.2 ms,,1920 x 1080,16:9,92 PPI,,,,,,No
143,LG 49WL95C-W,Yes,"49""",850 : 1,,Direct,258 cd/m²,353 cd/m²,Custom,53-50-51,50.0,Mode 2,94.3%,73.4%,61.5%,53.9%,Matte,IPS,RGB,60 Hz,,,No,Normal,14.8 ms,0.3%,14.3 ms,,,,0 Hz,9.4 ms,,5120x1440,32:9,109 PPI,,,,,,PBP
144,Corsair XENEON 32QHD165,No,"32""","1,166 : 1",,Edge,378 cd/m²,360 cd/m²,Standard,100-96-94,50.0,2.2,99.5%,99.9%,83.1%,69.7%,Matte,IPS,RGB,165 Hz,,,Compatible (Tested),Fast,7.0 ms,0.2%,8.3 ms,,,,0 Hz,3.7 ms,,2560 x 1440,16:9,92 PPI,,,,,,No
145,Pixio PX7 Prime,No,"27""","1,011 : 1",,Edge,402 cd/m²,336 cd/m²,Standard,47-46-50,52.0,2.2,99.5%,85.4%,62.4%,62.8%,Matte,IPS,RGB,165 Hz,,,Compatible (Tested),Middle,10.3 ms,2.4%,12.8 ms,,,,0 Hz,3.7 ms,,2560 x 1440,16:9,109 PPI,,,,,,No
146,Mobile Pixels DUEX Plus,No,"13""","1,174 : 1",,Edge,183 cd/m²,,Off,No Color Settings,50.0,No Gamma Setting,64.4%,49.2%,,,Matte,IPS,RGB,60 Hz,,,No,No Overdrive,34.9 ms,0.2%,43.1 ms,,,,>1000 Hz,9.1 ms,,1920 x 1080,16:9,166 PPI,,,,,,No
147,MSI Oculux NXG253R,No,"25""",955 : 1,,Edge,319 cd/m²,384 cd/m²,User,52-50-43,50.0,2.2,98.3%,72.5%,73.6%,52.9%,Matte,IPS,RGB,360 Hz,,,Yes (Native),Normal,8.2 ms,0.0%,9.3 ms,,,,0 Hz,2.5 ms,,1920 x 1080,16:9,91 PPI,,,,,,No
148,Acer Predator X25 bmiiprzx,No,"25""","1,159 : 1",,Edge,423 cd/m²,399 cd/m²,User,57-50-45,50.0,Default,98.4%,72.6%,71.0%,51.1%,Matte,IPS,RGB,360 Hz,,,Yes (Native),Off,8.3 ms,0.0%,9.5 ms,,,,0 Hz,2.2 ms,,1920 x 1080,16:9,91 PPI,,,,,,No
149,Razer Raptor 27 165Hz,No,"27""","1,011 : 1",,Edge,366 cd/m²,491 cd/m²,Custom,44-46-46,50.0,2.2,100.0%,88.2%,90.6%,68.9%,Matte,IPS,RGB,165 Hz,,,Compatible (NVIDIA Certified),Strong,9.4 ms,5.7%,11.7 ms,,,,0 Hz,5.1 ms,,2560 x 1440,16:9,109 PPI,,,,,,PIP + PBP
150,Gigabyte AORUS FI27Q,No,"27""","1,159 : 1",,Edge,404 cd/m²,399 cd/m²,Custom 1,95-96-100,49.0,3,99.1%,86.1%,83.9%,63.0%,Matte,IPS,RGB,165 Hz,,,Compatible (NVIDIA Certified),Speed,10.7 ms,5.3%,11.5 ms,,,,0 Hz,4.1 ms,,2560 x 1440,16:9,109 PPI,,,,,,PIP + PBP
151,ASUS ProArt PA148CTV,No,"14""",985 : 1,,Edge,301 cd/m²,,Standard,50-44-37,80.0,2.2,95.1%,71.3%,,,Matte,IPS,RGB,60 Hz,,,No,40,20.4 ms,5.5%,20.9 ms,,,,0 Hz,9.1 ms,,1920 x 1080,16:9,157 PPI,,,,,,No
152,ASUS TUF Gaming VG27WQ1B,Yes,"27""","3,172 : 1",,Edge,284 cd/m²,297 cd/m²,Racing Mode,100-91-100,78.0,No Gamma Setting,98.0%,85.4%,82.9%,63.9%,Matte,VA,RGB,165 Hz,,,Compatible (Tested),100,15.6 ms,6.2%,27.1 ms,,,,0 Hz,5.0 ms,,2560 x 1440,16:9,109 PPI,,,,,,No
153,MSI Optix MAG161V,No,"15""",676 : 1,,Edge,223 cd/m²,,Standard,50-43-45,35.0,2.2,63.2%,48.2%,,,Glossy,IPS,RGB,60 Hz,,,No,No Overdrive,34.6 ms,0.0%,41.8 ms,,,,>1000 Hz,8.8 ms,,1920 x 1080,16:9,142 PPI,,,,,,No
154,MSI Optix G272,No,"27""","1,403 : 1",,Edge,301 cd/m²,,User,48-46-48,70.0,No Gamma Setting,98.6%,81.5%,,,Matte,IPS,RGB,144 Hz,,,Compatible (Tested),Fast,8.6 ms,6.6%,7.7 ms,,,,0 Hz,4.3 ms,,1920 x 1080,16:9,82 PPI,,,,,,No
155,LG 48 CX OLED,No,"48""",Inf : 1,,No Backlight,164 cd/m²,571 cd/m²,Game (User),"High (2-0-1), Low (6-0-(-1))",85.0,2.2,94.6%,73.8%,80.7%,60.8%,Glossy,OLED,WBGR,120 Hz,,,Compatible (NVIDIA Certified),No Overdrive,1.8 ms,0.8%,3.7 ms,,,,0 Hz,5.3 ms,,3840 x 2160,16:9,92 PPI,,,,,,No
156,Samsung JG50,Yes,"27""","3,766 : 1",,Edge,312 cd/m²,,FPS,41-44-54,75.0,Mode 1,91.8%,74.0%,,,Matte,VA,RGB,144 Hz,,,No,Fastest,17.1 ms,1.4%,17.6 ms,,,,0 Hz,4.3 ms,,2560 x 1440,16:9,109 PPI,,,,,,No
157,Samsung UE590,No,"28""",688 : 1,,Direct,292 cd/m²,,Custom,50-31-30,71.0,No Gamma Setting,96.7%,70.4%,,,Matte,TN,RGB,60 Hz,,,No,Faster,16.6 ms,0.2%,11.3 ms,,,,240 Hz,9.0 ms,,3840 x 2160,16:9,161 PPI,,,,,,PIP + PBP
158,Acer Nitro VG271 Pbmiipx,No,"27""","1,392 : 1",,Edge,440 cd/m²,462 cd/m²,User,43-48-51,49.0,2.2,98.2%,75.9%,71.6%,52.5%,Matte,IPS,RGB,144 Hz,,,Compatible (Tested),Extreme,12.9 ms,7.2%,13.2 ms,,,,0 Hz,4.2 ms,,1920 x 1080,16:9,82 PPI,,,,,,PIP + PBP
159,BenQ EL2870U,No,"28""",915 : 1,,Edge,289 cd/m²,246 cd/m²,User,100-94-96,50.0,3,96.7%,74.9%,50.5%,45.8%,Matte,TN,RGB,60 Hz,,,Compatible (Tested),High,19.1 ms,7.5%,18.7 ms,,,,0 Hz,8.8 ms,,3840 x 2160,16:9,161 PPI,,,,,,No
160,ASUS MX279HS,No,"27""","1,073 : 1",,Direct,206 cd/m²,,Standard,100-99-93,75.0,No Gamma Setting,91.5%,71.7%,,,Matte,IPS,RGB,60 Hz,,,No,0,18.3 ms,0.0%,19.0 ms,,,,0 Hz,8.8 ms,,1920 x 1080,16:9,82 PPI,,,,,,No
161,MSI Optix G27C5,Yes,"27""","3,676 : 1",,Edge,285 cd/m²,,User,55-58-78,55.0,No Gamma Setting,97.2%,81.1%,,,Matte,VA,RGB,165 Hz,,,Compatible (Tested),Fastest,13.0 ms,6.4%,21.3 ms,,,,0 Hz,3.4 ms,,1920 x 1080,16:9,82 PPI,,,,,,No
162,ASUS ZenScreen Touch MB16AMT,No,"15""",956 : 1,,Edge,248 cd/m²,,Standard,100-95-97,78.0,No Gamma Setting,63.2%,47.8%,,,Matte,IPS,RGB,60 Hz,,,No,40,21.5 ms,0.5%,25.6 ms,,,,0 Hz,9.7 ms,,1920 x 1080,16:9,142 PPI,,,,,,No
163,ASUS ZenScreen Go MB16AHP,No,"15""","1,355 : 1",,Edge,282 cd/m²,,Standard,93-97-100,80.0,No Gamma Setting,63.1%,47.7%,,,Matte,IPS,RGB,60 Hz,,,No,60,22.8 ms,4.9%,27.9 ms,,,,0 Hz,9.4 ms,,1920 x 1080,16:9,142 PPI,,,,,,No
164,ViewSonic VG1655,No,"15""",935 : 1,,Edge,158 cd/m²,,Custom 1,83-81-90,70.0,2.2,60.5%,46.3%,,,Matte,IPS,RGB,60 Hz,,,No,Advanced,25.8 ms,1.1%,23.7 ms,,,,240 Hz,8.9 ms,,1920 x 1080,16:9,142 PPI,,,,,,No
165,Lenovo ThinkVision M14,No,"14""",982 : 1,,Edge,254 cd/m²,,No Setting Options,No Color Settings,85.0,No Gamma Setting,99.9%,74.5%,,,Matte,IPS,RGB,60 Hz,,,No,On,31.5 ms,25.7%,37.8 ms,,,,0 Hz,9.3 ms,,1920 x 1080,16:9,157 PPI,,,,,,No
166,Lepow Z1,No,"15""","1,084 : 1",,Edge,212 cd/m²,224 cd/m²,Standard,52-48-44,45.0,No Gamma Setting,67.7%,50.4%,36.6%,26.7%,Matte,IPS,RGB,60 Hz,,,No,No Overdrive,36.5 ms,0.1%,40.0 ms,,,,>1000 Hz,9.1 ms,,1920 x 1080,16:9,142 PPI,,,,,,No
167,LG 27GN850-B,No,"27""",852 : 1,,Edge,322 cd/m²,325 cd/m²,Gamer 1,50-50-49,70.0,Mode 2,99.8%,88.8%,78.3%,62.7%,Matte,IPS,RGB,144 Hz,,,Compatible (NVIDIA Certified),Normal,6.8 ms,0.7%,6.5 ms,,,,0 Hz,4.5 ms,,2560 x 1440,16:9,109 PPI,,,,,,No
168,ASUS ZenScreen MB14AC,No,"14""",983 : 1,,Edge,267 cd/m²,,Standard,100-95-94,80.0,No Gamma Setting,63.7%,48.3%,,,Matte,IPS,RGB,60 Hz,,,No,60,23.9 ms,1.6%,28.9 ms,,,,0 Hz,8.8 ms,,1920 x 1080,16:9,157 PPI,,,,,,No
169,LG 27GN880-B,No,"27""",797 : 1,,Edge,337 cd/m²,349 cd/m²,Gamer 1,49-50-46,70.0,Mode 2,99.9%,88.4%,82.1%,60.2%,Matte,IPS,RGB,144 Hz,,,Compatible (NVIDIA Certified),Normal,6.7 ms,0.3%,6.5 ms,,,,0 Hz,4.0 ms,,2560 x 1440,16:9,109 PPI,,,,,,No
170,MSI Optix G27C6,Yes,"27""","4,229 : 1",,Edge,302 cd/m²,,User,60-49-47,70.0,No Gamma Setting,97.6%,85.6%,,,Matte,VA,RGB,165 Hz,,,Compatible (Tested),Fastest,18.6 ms,1.0%,27.3 ms,,,,0 Hz,4.0 ms,,1920 x 1080,16:9,82 PPI,,,,,,No
171,MSI Optix G27CQ4,Yes,"27""","3,390 : 1",,Edge,297 cd/m²,,User,94-95-98,70.0,No Gamma Setting,98.4%,84.6%,,,Matte,VA,RGB,165 Hz,,,Compatible (Tested),Fastest,13.5 ms,6.9%,21.9 ms,,,,0 Hz,4.3 ms,,2560 x 1440,16:9,109 PPI,,,,,,No
172,Dell UltraSharp U4021QW,Yes,"40""",943 : 1,,Edge,280 cd/m²,,Custom Color,98-97-100,75.0,No Gamma Setting,100.0%,88.5%,,,Matte,IPS,RGB,60 Hz,,,No,Normal,18.7 ms,7.5%,20.3 ms,,,,0 Hz,8.9 ms,,5120 x 2160,21:9,137 PPI,,,,,,PIP + PBP
173,ASUS TUF Gaming VG258QM,No,"25""","1,107 : 1",,Edge,424 cd/m²,425 cd/m²,Racing Mode,100-91-93,80.0,No Gamma Setting,97.5%,77.5%,51.4%,50.6%,Matte,TN,RGB,280 Hz,,,Compatible (NVIDIA Certified),Level 3,7.5 ms,4.8%,4.6 ms,,,,0 Hz,2.4 ms,,1920 x 1080,16:9,88 PPI,,,,,,No
174,HP X24ih,No,"24""",891 : 1,,Edge,354 cd/m²,,Custom RGB,240-229-203,80.0,No Gamma Setting,100.0%,77.7%,,,Matte,IPS,RGB,144 Hz,,,Compatible (Tested),Level 2,6.1 ms,1.7%,7.0 ms,,,,0 Hz,4.1 ms,,1920 x 1080,16:9,92 PPI,,,,,,No
175,LG 34GP83A-B,Yes,"34""",956 : 1,,Edge,389 cd/m²,398 cd/m²,Gamer 1,48-50-50,70.0,Mode 2,99.9%,88.6%,84.5%,71.6%,Matte,IPS,RGB,160 Hz,,,Compatible (NVIDIA Certified),Fast,6.7 ms,3.5%,7.2 ms,,,,0 Hz,4.0 ms,,3440 x 1440,21:9,108 PPI,,,,,,No
176,Dell Alienware AW3821DW,Yes,"38""",883 : 1,870 : 1,Edge,495 cd/m²,496 cd/m²,Custom Color,100-100-92,75.0,No Gamma Setting,99.7%,86.6%,87.9%,73.7%,Matte,IPS,RGB,144 Hz,,,Yes (Native),Fast,10.2 ms,12.4%,9.9 ms,,,,0 Hz,4.4 ms,,3840 x 1600,21:9,111 PPI,,,,,,No
177,LG 32UL950-W,No,"32""","1,336 : 1","1,336 : 1",Edge,403 cd/m²,423 cd/m²,Custom,48-50-51,20.0,Mode 2,99.7%,85.0%,67.9%,68.4%,Matte,IPS,RGB,60 Hz,,,Compatible (Tested),Fast,19.3 ms,5.3%,20.5 ms,,,,240 Hz,9.0 ms,,3840 x 2160,16:9,140 PPI,,,,,,PBP
178,LG 27UK650-W,No,"27""","1,196 : 1",,Direct,350 cd/m²,385 cd/m²,Custom,46-50-48,71.0,Mode 4,98.5%,76.4%,68.4%,49.1%,Matte,IPS,RGB,60 Hz,,,Partially Compatible,Normal,13.5 ms,1.3%,14.7 ms,,,,0 Hz,8.8 ms,,3840 x 2160,16:9,164 PPI,,,,,,No
179,Philips Momentum 436M6VBPAB,No,"43""","6,888 : 1",,Edge,732 cd/m²,773 cd/m²,Off,100-96-99,50.0,Default,99.6%,92.9%,79.9%,72.5%,Semi-Gloss,VA,BGR,60 Hz,,,Compatible (Tested),Off,17.5 ms,6.1%,25.1 ms,,,,>1000 Hz,9.7 ms,,3840 x 2160,16:9,104 PPI,,,,,,PIP + PBP
180,Samsung T55,Yes,"32""","3,174 : 1",,Edge,317 cd/m²,,Custom,41-40-52,75.0,1,98.9%,82.1%,,,Matte,VA,RGB,75 Hz,,,Compatible (Tested),Faster,19.9 ms,10.4%,24.0 ms,,,,0 Hz,8.0 ms,,1920 x 1080,16:9,69 PPI,,,,,,No
181,Dell S2721D,No,"27""","1,015 : 1",,Edge,334 cd/m²,,Custom Color,92-94-100,75.0,No Gamma Setting,98.6%,76.4%,,,Matte,IPS,RGB,75 Hz,,,Compatible (Tested),Normal,17.4 ms,0.0%,19.8 ms,,,,0 Hz,6.9 ms,,2560 x 1440,16:9,109 PPI,,,,,,No
182,BenQ EX2780Q,No,"27""","1,142 : 1",,Edge,358 cd/m²,455 cd/m²,User,96-99-100,50.0,2.2 (Default),99.6%,86.3%,62.0%,62.4%,Matte,IPS,RGB,144 Hz,,,Compatible (Tested),Premium,11.8 ms,3.3%,14.1 ms,,,,0 Hz,4.1 ms,,2560 x 1440,16:9,109 PPI,,,,,,No
183,Dell E2220H,No,"22""","1,004 : 1",,Edge,253 cd/m²,,Custom Color,97-96-99,72.0,No Gamma Setting,94.7%,74.7%,,,Matte,TN,RGB,60 Hz,,,No,No Overdrive,22.4 ms,0.0%,19.6 ms,,,,0 Hz,8.8 ms,,1920 x 1080,16:9,102 PPI,,,,,,No
184,BenQ EW3270U,No,"32""","2,740 : 1",,Edge,270 cd/m²,249 cd/m²,User,97-94-99,49.0,3,99.2%,87.6%,73.2%,66.9%,Matte,VA,RGB,60 Hz,,,Compatible (Tested),Off,14.9 ms,0.9%,14.9 ms,,,,0 Hz,9.4 ms,,3840 x 2160,16:9,139 PPI,,,,,,No
185,Acer Nitro RG241Y Pbiipx,No,"24""","1,251 : 1",,Edge,292 cd/m²,285 cd/m²,User,49-90-51,50.0,2.2 (Default),96.5%,74.5%,67.9%,49.3%,Matte,IPS,RGB,165 Hz,,,No,Extreme,11.2 ms,1.6%,11.5 ms,,,,0 Hz,3.6 ms,,1920 x 1080,16:9,92 PPI,,,,,,No
186,Nixeus EDG 34,Yes,"34""","3,610 : 1",,Edge,356 cd/m²,360 cd/m²,Standard,47-48-52,50.0,2.2,95.4%,77.6%,59.7%,64.1%,Matte,VA,RGB,144 Hz,,,Compatible (Tested),Middle,14.4 ms,2.1%,21.9 ms,,,,0 Hz,4.3 ms,,3440 x 1440,21:9,109 PPI,,,,,,No
187,AOC CQ32G1,Yes,"32""","3,039 : 1",,Edge,370 cd/m²,,Standard,45-50-49,48.0,1,99.2%,82.3%,,,Matte,VA,RGB,144 Hz,,,Compatible (Tested),Strong,26.8 ms,5.5%,21.9 ms,,,,0 Hz,4.1 ms,,2560 x 1440,16:9,92 PPI,,,,,,No
188,ViewSonic VX2758-2KP-MHD,No,"27""","1,071 : 1",,Edge,358 cd/m²,,Standard,93-95-98,72.0,No Gamma Setting,99.5%,86.1%,,,Matte,IPS,RGB,144 Hz,,,Compatible (Tested),Ultra Fast,11.8 ms,9.7%,11.4 ms,,,,>1000 Hz,4.1 ms,,2560 x 1440,16:9,109 PPI,,,,,,No
189,Dell S2721HGF,Yes,"27""","3,432 : 1",,Edge,322 cd/m²,,Custom Color,100-98-100,78.0,No Gamma Setting,96.8%,75.8%,,,Matte,VA,RGB,144 Hz,,,Compatible (NVIDIA Certified),Super Fast,13.0 ms,3.5%,14.8 ms,,,,0 Hz,4.1 ms,,1920 x 1080,16:9,82 PPI,,,,,,No
190,ViewSonic Elite XG270,No,"27""","1,058 : 1",,Edge,382 cd/m²,412 cd/m²,Standard,92-100-100,67.0,2.2,97.2%,75.7%,68.4%,56.3%,Matte,IPS,RGB,240 Hz,,,Compatible (NVIDIA Certified),Faster,9.5 ms,0.0%,10.6 ms,,,,0 Hz,2.8 ms,,1920 x 1080,16:9,82 PPI,,,,,,No
191,Lenovo Legion Y27q-20,No,"27""",851 : 1,,Edge,323 cd/m²,325 cd/m²,Off,94-92-99,84.0,No Gamma Setting,100.0%,87.3%,63.6%,63.9%,Matte,IPS,RGB,165 Hz,,,Compatible (NVIDIA Certified),Normal,6.9 ms,3.3%,6.4 ms,,,,0 Hz,3.8 ms,,2560 x 1440,16:9,109 PPI,,,,,,No
